"ACO Name (LBN or DBA, if applicable) ",States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model ,Total Assigned Beneficiaries,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Comp-osite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Comp-osite,ACO-32,ACO-33
CCACO,New York,04/01/2012,Track1 ,No ,13833,$192513845,$189064665,$3449181,1.8%,,,Yes,68.97,84.31,86.07,75.44,49.73,72.61,69.96,15.58,0.65,0.71,41.76,96.72,58.99,78.73,61.48,86.79,98.69,39.2,54.7,51.17,89.65,36.25,83.16,62.47,76.33,92.11,73.28,12.58,79.22,55.3,75,88.39,71.73,84.57,72.05
"Cedars-Sinai Accountable Care, LLC",California,01/01/2013,Track1 ,No ,10319,$145443118,$152575529,$-7132411,-4.9%,,,Yes,83.66,93.16,93.37,84.5,60.21,72,68.49,15.11,0.9,1.28,55.65,80.63,29.61,51.81,55.59,57.09,92.62,18.69,66.55,63.13,64.52,30.35,72.91,61.91,67.21,87.37,81.97,18.33,68.59,61.88,76.25,83.48,69.75,76.92,75
Central Florida Physicians Trust,Florida,01/01/2013,Track1 ,Yes ,9069,$90827925,$86264114,$4563811,5%,$4563811,$2236267,Yes,84.27,94.28,93.32,85.84,59.01,77.31,71.77,15.14,1.22,1.09,62.5,91.12,57.87,46.79,46.55,75.45,87.76,31.38,57.58,63.83,99.4,27.05,75.19,56.34,72.57,84.14,61.5,17.16,72.43,60.24,68.56,84.06,53.4,66.67,58.2
Central Jersey ACO LLC,New Jersey,01/01/2013,Track1 ,No ,19340,$206390712,$205412167,$978544,0.5%,,,Yes,83.69,95.09,92.9,83.88,58.68,80.18,72.53,15.43,1.27,1.2,64.37,70.44,12.2,57.25,36.98,64.31,88.26,13.59,58.21,49.46,89.96,21.83,69.4,48.73,68.03,80.9,85.29,22.22,68.06,55.53,79.23,92.98,65.94,73.47,72.86
Central Maine ACO,Maine,07/01/2012,Track1 ,No ,16695,$184814281,$182216815,$2597466,1.4%,,,Yes,85.68,95.2,93.78,88.16,63.73,74.14,74.05,14.2,1.21,1.14,51.95,98.43,61.99,77.02,85.33,75.63,93.2,16.62,70.76,73.56,96.71,16.67,64.98,65.94,76.09,47.58,92.86,12.08,66.12,67.64,94.89,84.71,78.67,84.82,86.38
"Central Utah Clinic, P.C.","Utah, Nevada",07/01/2012,Track1 ,No ,15629,$181729522,$186949829,$-5220307,-2.9%,,,Yes,81.28,92.61,92.04,83.89,53.3,77.16,67.08,13.96,0.66,0.69,83.33,71.14,32.95,52.43,55.52,81.33,83.93,3.41,63.58,64.01,90.75,31.34,78.7,58.1,61.8,89.26,83.67,13.56,71.11,63.93,76.61,40,67.42,72.44,51.19
"Chautauqua Region Associated Medical Partners, LLC","New York, Pennsylvania",07/01/2012,Track1 ,No ,7884,$92247040,$95229434,$-2982394,-3.2%,,,Yes,82.44,91.48,89.61,87.57,54.14,69.85,73.51,15.52,0.73,1.05,79.41,76.6,40.5,74.92,84.08,75.29,91.39,28.05,69.95,72.61,98.49,20.04,71.63,54.96,76.79,70.63,69.79,17.66,75.04,58.71,77.84,81.72,68.95,86.28,58.43
"Chicago Health System ACO, LLC",Illinois,07/01/2012,Track1 ,No ,11236,$165204123,$161657885,$3546238,2.1%,,,Yes,79.23,92.31,92.56,84.59,61.18,76.88,69.41,14.95,1.37,1.21,69.79,98.66,59.44,66.6,68.62,73.87,95.06,40.49,55.03,65.82,85.74,25,72.76,58.21,69.96,78.73,90.91,16.98,66.79,63.88,84.34,88.89,68.44,77.52,77.82
"Christie Clinic Physician Services, LLC",Illinois,01/01/2013,Track1 ,No ,7741,$63109373,$64519999,$-1410627,-2.2%,,,Yes,81.37,92.33,91.78,86.43,47.14,70.94,72.07,15.24,1.22,1.55,90.63,77.48,1.81,62.03,56.05,65.44,90.15,0,62.67,72.13,41.46,27.95,74.48,58.16,65.63,81.94,97.33,15.8,61.5,57.34,90.4,93.88,67.26,77.9,69.77
"Circle Health Alliance, LLC","Massachusetts, New Hampshire",07/01/2012,Track1 ,No ,11300,$156216224,$143792616,$12423608,8%,$12423608,$6087568,Yes,83.36,94.42,92.88,88.36,65.09,77.66,72.41,15.04,1.41,1.64,58.46,77.47,60.08,65.36,69.23,78.53,92.49,50.36,68.5,74.85,86.07,29.86,71.37,61.55,77.3,77.51,97.35,15.95,77.8,76.78,90.31,93.59,83.04,88.43,85.77
"Coastal Carolina Quality Care, Inc.",North Carolina,04/01/2012,Track1 ,Yes ,12936,$171531054,$172517723,$-986668,-0.6%,,,Yes,78.14,93.73,92.92,88.84,65,77.01,72.82,13.63,0.34,1.03,95.83,86.15,69.16,87.38,88.58,68.83,71.59,72.74,88.94,91.22,60.48,28.6,79.81,56.82,72.9,80.93,88.64,11.03,69.22,62.58,87.42,91.23,75.37,82.36,81.25
"Coastal Medical, Inc.","Massachusetts, Rhode Island",07/01/2012,Track1 ,Yes ,11280,$135396724,$128124203,$7272520,5.4%,$7272520,$3563535,Yes,86.41,95.7,94.79,83.01,66.86,76.58,72.28,14.47,0.64,0.91,91.8,99.52,85.97,62.52,84.56,72.76,97.86,74.37,80.1,70.89,79.63,41.14,79.13,67.91,81.5,88.98,84.62,12.4,80.11,66.43,81.8,97.3,72.07,76.9,83.62
Collaborative Care of Florida LLC,Florida,01/01/2013,Track1 ,No ,10267,$79613642,$76615316,$2998326,3.8%,$2998326,$1469180,Yes,82.91,93.84,93.17,85.66,59.24,73.86,71.66,14.1,1.03,0.92,95.65,99.17,9.87,57.96,59.47,54.59,79.32,0.99,60.53,77.03,32.18,28.9,73.91,60.6,73.91,74.96,88.48,20.49,71.67,62.98,88.18,93.33,70.19,77.93,78.1
Collaborative Health ACO,Massachusetts,01/01/2013,Track1 ,No ,8798,$123704849,$114766765,$8938084,7.2%,$8938084,$4379661,Yes,85.4,93.31,92.7,84.6,65.24,77.13,70.72,15.23,1.03,1.25,74.19,79.68,14.24,50.86,50.25,57.14,87.85,16.89,65.66,77.72,50.94,33.33,74.58,67.04,85.12,81.17,81.2,12.99,81.36,72.11,84.56,69.7,71.58,78.67,80.36
"Colorado Accountable Care, LLC",Colorado,01/01/2013,Track1 ,No ,10774,$93248433,$93761568,$-513135,-0.6%,,,Yes,77.48,93.07,89.88,86.25,57.45,78.83,71.39,13.57,0.67,0.79,68.15,75.23,61.3,63.61,68.9,79.38,93.02,11.91,51.4,65.57,67.16,23.39,66.44,57.63,67.8,81.02,74.53,17.12,66.88,58.29,87.01,86.27,69.17,74.67,81.95
Commonwealth Primary Care ACO,"New Mexico, Arizona",01/01/2013,Track1 ,No ,5338,$44488624,$43932406,$556218,1.3%,,,Yes,72.18,90.52,89.66,84.52,55.82,74.52,71.53,14.49,0.81,0.93,51.43,100,31.03,66.67,56.73,69.01,97.87,11.3,63,71.25,92.25,18.95,70.53,54.74,78.95,56.84,66.67,22.11,72.89,67.8,81.36,100,72.73,88.51,65
Community Health Network,Minnesota,01/01/2013,Track1 ,No ,13553,$131834676,$130391899,$1442777,1.1%,,,Yes,87.35,94.61,93.71,84.7,63.96,78.19,72.29,15.02,1.11,1.07,80.1,96.41,0.33,45.42,61.58,42.74,91.64,45.93,70.72,58.54,89.21,45.56,80.72,70.13,94.71,81.47,95.05,11.15,92.99,63.34,88.29,80.88,72.03,80.56,75.69
"Cornerstone Health Care, PA",North Carolina,07/01/2012,Track1 ,No ,19750,$200304601,$200421595,$-116994,-0.1%,,,Yes,82.88,92.86,93.03,86.12,62.4,78.34,71.54,13.71,0.8,1.1,85.71,50.31,41.02,52.66,67.65,48.44,84.96,49.01,58.76,68.25,27.44,36.29,77.94,63.09,70.72,90.1,84.91,13.61,65.34,62.14,77.68,88.89,69.39,75.13,78.07
"Crystal Run Healthcare ACO, LLC","New York, Pennsylvania",04/01/2012,Track1 ,No ,12941,$208622533,$207666072,$956461,0.5%,,,Yes,81.2,92.56,91.55,90.4,62.09,74.28,70.09,16.46,0.7,1.23,81.48,6.33,48.94,56.51,63.99,35.06,94.28,45.23,65.43,63.46,28.13,27.88,70.5,60.07,77.34,69.96,87.72,21.94,74.74,62.06,91.13,89.47,89.34,96.79,72.33
"Cumberland Center for Healthcare Innovation, LLC",Tennessee,07/01/2012,Track1 ,Yes ,12268,$173492659,$168760428,$4732231,2.7%,,,Yes,82.85,94.33,92.46,86.72,54.5,74.35,68.02,15.54,2.18,1.13,66.67,86.55,49.17,65.67,52.05,60.56,84.4,48.26,57.49,55.46,97.23,26.39,73.44,61.46,69.27,76.22,71.79,16.49,68.47,59.5,84.3,80.74,63.64,70.26,80.2
"Deaconess Care Integration, LLC","Indiana, Kentucky, Illinois",07/01/2012,Track1 ,No ,17781,$206908516,$217261473,$-10352958,-5%,,,Yes,86.97,93.59,92.46,84.67,56.61,71.54,69.89,14.33,1.3,1.37,90.41,95.38,59.95,74.33,81.1,63.92,92,48.39,52.17,64.56,59.15,34.14,77.72,62.47,76.27,84.02,86,10.65,64.48,60.39,80.43,87.21,65.45,76.52,68.39
Dean Clinic and St. Mary's Hospital ACO,Wisconsin,07/01/2012,Track2 ,No ,20979,$197934065,$207900445,$-9966380,-5%,$-9966380,$-3986552,Yes,86.99,93.63,93.2,86.52,56.04,74.09,74.39,14.67,1.36,1.25,92.42,47.4,44.63,74.59,89.03,43.42,99.51,53.22,82.44,71.01,41.25,46.65,78.06,69.28,90.07,89.38,92.52,11.09,84.18,68.01,94.97,57.48,68.82,78.77,72.13
Diagnostic Clinic Walgreens Well Network,Florida,01/01/2013,Track1 ,No ,7691,$74055705,$72499231,$1556474,2.1%,,,Yes,79.65,92.43,91.27,88.35,65.01,75.55,75.88,13.95,0.88,1.16,73.53,99.67,72.68,73.37,68.35,68.05,66.75,63.27,63.09,79.8,98,6.16,26.11,23.14,62.63,19.11,33.18,71.55,58.94,77.54,49.84,48.23,5.24,11.29,14.76
Doctors Connected,Virginia,01/01/2013,Track1 ,No ,49628,$415182577,$420112046,$-4929469,-1.2%,,,Yes,82.68,92.54,92.22,82.22,51.68,71.52,71.32,15.05,1.04,1.22,85.29,91.3,52.35,65.25,75.65,59.51,92.81,8.93,73.22,68.26,52.49,24.47,70.07,55.28,66.55,79.4,90.65,18.49,67.39,55.39,94.15,74.66,69.4,73.13,87.08
Essentia Health,"Wisconsin, North Dakota, Minnesota",07/01/2012,Track1 ,No ,37862,$432277182,$460243839,$-27966657,-6.5%,,,Yes,78.49,91.46,91.06,84.15,61.03,73.95,72.11,13.94,1.11,1.07,78.08,78.85,66.89,59.64,81.61,56.25,96.08,20.55,73.73,73.8,51.03,45.76,80.54,70.19,89.03,83.44,96.84,10.77,83.86,71.33,93.17,92.11,80.81,87.72,80.56
"Essential Care Partners II, LLC.",Texas,01/01/2013,Track1 ,No ,10463,$83510099,$82083138,$1426961,1.7%,,,Yes,66.89,88.58,86.64,86.05,59.28,69.9,72.21,14.92,1.55,1.3,,89.53,34.92,57.97,46.65,84.63,91.99,37.8,44.29,61.05,99,4.12,59.79,57.11,65.15,20,78.41,24.12,67.57,63.38,86.77,100,70.59,77.34,84.19
"Essential Care Partners, LLC",Texas,07/01/2012,Track1 ,No ,11199,$119865875,$118307122,$1558753,1.3%,,,Yes,71.08,88.85,90.24,83.63,58.79,76.12,71.84,14.54,2.33,1.38,,61.3,39.53,39.11,41.79,79.62,89.57,56.89,36,55.29,97.15,2.94,56.47,55.88,59.8,15.69,78.57,29.22,59.66,53.53,86.25,89.66,63.66,76.14,78.13
"Florida Medical Clinic ACO, LLC",Florida,07/01/2012,Track1 ,No ,11916,$144069722,$147521827,$-3452105,-2.4%,,,Yes,78.7,91.72,90.02,87.91,59.86,75.57,71.08,14.57,1.07,1.26,86,24.59,45.67,68.66,64.82,71.29,97.84,38.75,74.58,59.08,50.2,38.13,86.33,63.31,74.34,90.17,86.42,7.43,80.19,64.9,84.76,90.79,70.55,82.41,69.01
"Florida Physicians Trust, LLC",Florida,04/01/2012,Track1 ,No ,9784,$133909340,$135681373,$-1772033,-1.3%,,,No*,79.15,93.09,92.07,85.44,60.3,75.33,70.64,15.11,1.33,1.28,63.41,93.72,54.17,50.7,45.73,74.27,89.1,27.11,57.93,59.3,98.66,24.7,71.12,51.79,72.71,85.66,60.91,21.71,71.38,54.77,79.1,78.87,56.1,68.2,55.16
"Fort Smith Physicians Alliance ACO, LLC","Arkansas, Oklahoma",01/01/2013,Track1 ,Yes ,12402,$111831196,$111552819,$278377,0.2%,,,Yes,79.13,92.57,91.52,86.33,49.77,72.35,68.9,15.71,1.45,0.91,56.41,99.53,22.29,67.91,36.45,57.83,86.6,31.04,40.8,56.09,92.79,16.89,61.33,35.56,63.11,74.89,71.11,34.22,57.92,37.98,78.61,85.71,59.59,68.58,66.12
"FPG Healthcare, LLC",Florida,07/01/2012,Track1 ,No ,5887,$64109213,$60152045,$3957168,6.2%,$3957168,$1939013,Yes,75.21,89.37,87.44,84.57,58.08,74.03,71.32,15.56,1.18,1.22,75.76,93.96,63.13,53.06,52.82,83.99,95.45,20.85,72.92,77.96,59.08,30.21,73.77,62.3,75.41,82.2,82.64,15.69,73.85,71.67,84.75,85.33,82.04,88.53,85.78
"Franciscan AHN ACO, LLC ",Indiana,07/01/2012,Track1 ,No ,33774,$371576645,$378967678,$-7391033,-2%,,,Yes,81.39,90.96,91.54,85.88,51.39,72.47,69.73,13.9,1.11,0.99,85.32,22.88,25.66,54.01,58.36,38.2,82.7,15.89,68.95,48.61,26.54,12.41,72.73,66.61,69.76,41.26,36.79,20.28,68.16,50.87,58.25,100,59.19,66.86,70.81
"Franciscan Northwest Physicians Health Network, LLC",Washington,01/01/2013,Track1 ,No ,30101,$232766759,$236920113,$-4153354,-1.8%,,,Yes,79.2,89.97,89.52,83.07,53.05,73.29,72.16,14.16,0.88,1.09,65.5,67.3,18.49,47.78,41.65,54.04,89.8,8,45.58,52.25,87.68,25.22,74.07,48.68,70.55,80.78,78.29,18.69,65.08,48.83,80.54,84.15,53.26,62.3,71.33
Franciscan Union ACO,"Illinois, Indiana",01/01/2013,Track1 ,No ,14896,$140232368,$138591072,$1641296,1.2%,,,Yes,81.57,94.14,92.96,88.25,54.81,74.13,68.56,14.59,1.36,1.17,72,95.11,26.74,71.55,66.29,47.02,94.25,70.11,69.15,62.05,98.79,27.39,75.31,56.43,74.69,81.54,88.1,15.56,78.09,50.76,93.74,75.17,75.75,81.03,83.13
"Genesis Accountable Care Organization, LLC","Iowa, Illinois",07/01/2012,Track1 ,No ,19855,$201691883,$208179003,$-6487121,-3.2%,,,Yes,89.71,94.64,93.72,85.39,56.79,73.02,73.17,14.43,0.96,1.42,68.83,97.23,12.52,57.14,62.25,84.21,92.64,3.41,65.9,69.67,98.53,36.63,78.82,64.76,78.99,86.63,80.57,13.89,76.25,62.65,86.76,82.14,64.15,79.9,61.51
Golden Life Accountable Care Organization (ACO),California,07/01/2012,Track1 ,Yes ,10257,$163829373,$236324125,$-72494752,-44.3%,,,Yes,76.58,88.58,88.49,81.29,51.79,71.54,68.78,16.09,1.02,0.94,48,99.52,80.21,71.93,52.98,84.95,98.45,76.14,59.13,57.91,98.85,16.47,65.2,53.36,62.88,60.56,90.37,26.91,60.22,52.81,81.85,79.12,74.06,88.63,69.23
Good Help ACO,"South Carolina, Kentucky, Virginia, Ohio, New York",01/01/2013,Track1 ,No ,63154,$553679912,$561373875,$-7693963,-1.4%,,,Yes,78.15,92.03,91.73,85.33,52.61,72.37,69.38,15.05,0.81,1.06,78.66,87.85,31.22,44.85,59.17,51.1,89.3,13.19,52.55,62.27,48.29,25.14,73.16,56.52,69.19,78.64,81.94,16.45,61.77,60.42,92.76,92.14,68.25,73.19,83.92
Greater Baltimore Health Alliance ,"Maryland, Pennsylvania",07/01/2012,Track1 ,No ,13075,$196672226,$197731000,$-1058774,-0.5%,,,Yes,82.9,95.67,93.76,84.52,64.2,75.42,73.7,14,0.89,1.35,67.14,77.39,12.99,69.32,59.27,50.58,88.34,44.03,43.93,66.99,47.78,25.63,66.13,55.2,72.76,79.93,80.67,22.94,68.42,50.74,77.78,79.55,74.87,82.4,75
Hackensack Alliance ACO,"New Jersey, New York",04/01/2012,Track1 ,No ,16383,$279469265,$268721597,$10747669,3.8%,$10747669,$5266358,Yes,81.5,93.3,91.58,86.5,55.85,74.14,73.84,15.52,1.07,1.05,69.01,87.38,35.95,66.78,62.44,73.28,92.69,35.31,67.38,65.22,94.73,35.93,76.1,62.37,77.12,87.29,91.75,14.58,78.23,61.1,83.81,88.27,73.75,79.93,82.2
"Harbor Medical Associates, PC",Massachusetts,07/01/2012,Track1 ,Yes ,9953,$115693713,$116899583,$-1205869,-1%,,,Yes,79.01,93.27,93.02,85.45,59.91,73.53,74.64,14.19,1.18,0.97,87.5,66.42,62.26,58.47,68.74,71.94,97.15,63.9,77.51,72.86,81.46,39.86,83.82,68.36,79.95,90.1,91.4,8.21,79.47,61.89,85.19,73.63,65.13,73.97,71.75
"Hartford Healthcare Accountable Care Organization, Inc.",Connecticut,01/01/2013,Track1 ,No ,12898,$119718011,$122622336,$-2904325,-2.4%,,,Yes,82.51,92.58,91.83,83.57,62.77,74.64,71.99,15.42,0.83,1.37,70.79,95.18,55.63,58.45,64.27,85.71,95.48,38.24,70.05,65.98,47.77,35.84,80.63,60.29,72.88,87.17,83.33,14.29,69.25,64.25,86.96,70.19,64.01,75.54,63.64
"Healthcare Provider ACO, Inc.",New York,07/01/2012,Track1 ,No ,29313,$498653673,$487171239,$11482434,2.3%,,,Yes,84,95.47,92.34,84.88,59.35,76.88,70.65,17.63,1.12,0.86,31.61,44.57,7.84,41.74,17.14,40.65,54.19,3.8,41.94,37.04,30.83,13.87,62.57,45.55,73.82,47.64,72.6,30.1,62.18,45.4,76.72,78.38,56.29,66.86,67.61
Heartland,"Missouri, Kansas",07/01/2012,Track2 ,No ,13617,$168924299,$160398755,$8525545,5%,$8525545,$5013020,Yes,77.61,92.12,92.32,85.24,66.66,79.51,64.98,13.96,0.55,1.11,27.27,73.39,88.89,82.85,93.33,82.37,99.19,78.18,71.69,75.93,52.14,48.34,74.96,76.71,82.14,93.52,97.64,14.19,84.55,78.04,92.4,91.11,82.97,87.69,90.69
HHC ACO Inc,New York,01/01/2013,Track1 ,No ,12369,$107675574,$100247480,$7428094,6.9%,$7428094,$3639766,Yes,70.19,89.16,89.18,75.92,63.24,70.62,70.35,16.32,3.1,2.06,2.86,93.07,49.56,75.29,79.52,59.34,88.4,86.57,75.57,76.41,67.04,21.48,72.81,63.12,67.87,58.37,87.13,14.26,68.34,68.77,87.38,93.75,86.73,92.86,88.59
"HNMC Hospital/Physician ACO, LLC",New Jersey,01/01/2013,Track1 ,No ,10276,$124770206,$128878838,$-4108632,-3.3%,,,Yes,82.45,93.33,92.96,86.21,61.07,73.55,71.06,15.77,1.45,1.35,39.47,80.12,29.28,57.47,40.41,41.53,59.86,11.7,59.25,45.24,71.43,20.26,69.61,51.78,69.79,57.79,61.76,21.76,67.83,50.59,73.14,83.16,65.73,74.65,72.59
Independent Physicians' ACO of Chicago LLC ,Illinois,01/01/2013,Track1 ,No ,13674,$180019907,$180492567,$-472660,-0.3%,,,Yes,84.66,93.07,92.55,84.94,59.63,72.07,68.66,16.23,1.82,1.13,70.37,99.15,80.71,77.54,57.02,85.99,96.78,73.38,55.56,55.59,81.84,27.63,73.81,57.32,75.46,76.49,96.18,16.49,73.07,65.99,89.85,87.61,68.59,75.57,68.18
Independent San Diego ACO,California,01/01/2013,Track1 ,No ,5707,$114436817,$106479010,$7957807,7%,$7957807,$0,No,78.5,93.21,91.59,89.26,57.99,71.82,69.23,15.29,1.06,0.82,8.33,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Care Organization LLC,Indiana,01/01/2013,Track1 ,No ,9037,$76432153,$77070230,$-638077,-0.8%,,,Yes,83,94.61,92.63,86.49,54.25,75.03,69.64,13.88,0.94,0.68,80.77,0,2.45,56.14,52.38,57.64,58.92,29.62,69.17,63.47,32.61,13.49,74.28,64.39,70.86,44.06,80,16.73,69.84,66.04,88.25,70.21,56.62,69.53,61.38
Indiana Lakes ACO,"Indiana, Michigan",01/01/2013,Track1 ,No ,8198,$62349931,$63024468,$-674537,-1.1%,,,Yes,88.01,93.85,93.46,87.36,54.16,78.85,72.18,14.8,1.32,1.06,88.89,95.52,16.76,57.02,34.17,21.91,92.35,16.16,39.64,36.06,91.3,24.12,75.88,46.78,70.48,88.77,57.55,16.22,61.99,47.06,58.59,100,18.73,19.72,42.11
"Indiana University Health ACO, Inc.",Indiana,07/01/2012,Track1 ,No ,25456,$315679781,$329093574,$-13413793,-4.2%,,,Yes,84.42,94.52,93.32,84.84,59.78,74.26,69.52,14.82,1.4,1.19,76.96,46.56,34.38,62.17,77.35,46.19,86.41,8.42,68.97,70.31,61.2,31.55,73.06,62.38,79.13,82.77,85.54,15.53,74.7,64.48,85.4,87.88,67.72,70.83,84.14
"Integral Healthcare, LLC",Florida,01/01/2013,Track1 ,No ,5954,$60747626,$53187545,$7560081,12.4%,$7560081,$3704440,Yes,80.23,91.4,89.6,86.52,60.06,76.89,70.54,14.24,1.44,1.38,54.39,52.94,19.93,40.51,27.59,68.05,76.9,12.19,54.73,58.3,92.31,20.67,65.63,53.85,75.48,69.23,55.7,24.52,66.36,47.15,69.48,78.95,66.27,78.25,65.24
Integrated ACO LLC,Texas,01/01/2013,Track1 ,Yes ,6892,$81369738,$77801858,$3567881,4.4%,$3567881,$1748262,Yes,79.46,92.45,91.34,84.74,51.96,72.74,69.18,15.7,1.22,0.94,53.33,73.74,57.82,45.25,23.01,87.37,88.93,40.86,22.9,39.22,99.8,19.83,59.48,56.25,65.52,77.8,78.1,26.51,66.17,51.75,70.5,96,62.36,73.01,72.24
"Integrated Care Alliance, LLC",Florida,07/01/2012,Track1 ,No ,8559,$109717166,$112930925,$-3213759,-2.9%,,,Yes,74.96,90.13,87.32,84.37,56.31,74.73,67.98,16.34,1.03,1.58,76.92,27.76,34.2,46.6,56.94,75.31,89.83,18.53,54.41,61.47,49.29,24.3,67.74,57.42,71.61,81.72,66.23,22.15,72.54,57.45,71.27,96.43,69.26,81.36,68.51
"Jackson Purchase Medical Associates, PSC","Kentucky, Illinois",04/01/2012,Track1 ,Yes ,6137,$86534814,$80797046,$5737768,6.6%,$5737768,$2811506,Yes,85.32,94.68,95,88.55,58.02,74.35,68.09,14.12,0.9,1.18,87.5,88.89,2.95,49.26,54.44,79.34,85.53,0.23,86.09,84.5,100,0,79.82,65.32,0,51.38,32.81,11.93,0,68.34,34.27,,68.38,86.89,37.32
"John C. Lincoln Accountable Care Organization, LLC",Arizona,07/01/2012,Track1 ,No ,11559,$110761254,$113808960,$-3047706,-2.8%,,,Yes,77.5,92.31,91.31,83.59,60.15,74.03,72.4,14.08,1.03,1.44,82.05,75.71,85.37,77.44,79.06,76.14,97.89,29.13,68.67,51.63,56.99,35.08,77.8,61.36,74.75,90.51,72.48,14.24,71.12,60.99,79.56,92.16,65.43,80.85,58.46
John Muir Health Medicare ACO,California,07/01/2012,Track1 ,No ,23676,$336859618,$324246762,$12612855,3.7%,$12612855,$6180299,Yes,79.35,92.56,91.14,84.3,55.45,73.72,69.73,14.44,0.66,0.98,76.06,84.51,9.03,51.89,44.69,44.35,89.3,3.9,53.83,62.84,50.82,20.19,65.49,55.16,70.66,81.69,38.58,28.4,67.23,63.59,48.54,85.29,62.29,76.4,59.88
KCMPA,"Missouri, Kansas",01/01/2013,Track1 ,Yes ,12413,$103488911,$102580846,$908065,0.9%,,,Yes,84.8,93.55,92.36,86.35,63.1,77.58,72.05,15.16,1.02,1.35,83.93,,22.16,58.26,51.08,38.78,72.83,19.75,55.58,59.16,97.4,7.4,78.76,61.81,73.51,26.97,2,14.8,71.68,59.07,2.07,39.77,14.04,33.56,25.34
"KentuckyOne Health Partners, LLC","Kentucky, Indiana",01/01/2013,Track1 ,No ,18178,$146540510,$142888677,$3651833,2.5%,,,Yes,81.88,93.56,92.29,85.87,55.02,72.49,68.38,14.28,0.85,1.2,1.15,93.72,50.79,46.46,50.69,42.19,80.07,43.39,54.45,53.63,89.78,19.48,64.38,48.79,65.68,79.41,84.36,26.53,64.49,42.49,91.12,92.37,76.78,83.07,86.61
Keystone ACO,"Pennsylvania, New York",01/01/2013,Track1 ,No ,7561,$57368284,$56049114,$1319169,2.3%,,,Yes,85.94,94.11,92.88,86.93,52.16,77.71,73.72,15.05,0.89,1.33,77.78,89.3,23.15,62.72,52.26,63.99,82.06,10.47,68.1,69.05,44.36,24.57,73.97,61.56,64.48,74.7,89.93,16.06,64.72,62.29,82.24,65.96,67.23,81.62,63.23
"Lahey Clinical Performance Accountable Care Organization, LLC","Massachusetts, New Hampshire, Connecticut",01/01/2013,Track1 ,No ,37037,$393409759,$414617442,$-21207683,-5.4%,,,Yes,85.3,94.04,92.43,83.07,62.23,72.18,74.2,15.27,1.36,1.35,82.59,79.66,23.08,59.08,57.24,63.66,90.95,9.95,52.15,78.43,76.2,28.98,78.86,60.33,70.55,77.91,79.86,14.96,67.1,64.63,86.62,85.22,73.64,81.53,74.07
"Lower Shore ACO, LLC","Virginia, Maryland, Delaware",01/01/2013,Track1 ,Yes ,10756,$145507727,$143977159,$1530568,1.1%,,,Yes,85.26,93.44,92.25,83.15,58.74,73.05,72.09,15.53,0.98,1.4,52.38,96.26,36.75,43.06,50.09,55.47,84.21,39.65,54.37,56.65,95.56,7.83,70.43,56.3,71.74,26.74,87.06,16.96,73.73,59.17,88.24,83.53,60.2,68.41,72.68
"Maine Community Accountable Care Organization, LLC",Maine,07/01/2012,Track1 ,No ,8681,$84360336,$82457632,$1902705,2.3%,,,Yes,83.1,93,91.95,85.55,59.32,76.78,75.2,14.4,1.19,1.26,,51.66,9.04,43.56,59.77,38.87,71.94,19.18,60.39,57.91,90.43,4.44,55.06,49.63,63.95,23.21,69.8,33.33,65.71,39.3,65.17,75,48.15,59.15,67.26
MaineHealth Accountable Care Organization,Maine,07/01/2012,Track1 ,No ,48273,$586076506,$566879683,$19196823,3.3%,$19196823,$9406443,Yes,82.86,92.35,91.4,84.52,62.51,75.98,75.11,13.89,0.96,1.02,58,83.65,43.29,70.53,75,72.77,91.94,67.43,69.88,69.97,58.11,27.72,72.73,64.3,69.62,81.6,80.07,19.29,71.5,58.5,89.12,89.88,70.66,82.26,65.56
Marshfield Clinic,Wisconsin,01/01/2013,Track1 ,No ,32463,$264599634,$269283069,$-4683435,-1.8%,,,Yes,84.84,92.55,90.91,86.78,60.06,73.93,72.75,14.22,1.14,0.96,72.77,33.93,95.86,84.69,91.99,74.94,96.6,69.11,81.13,79.66,43.86,35.85,77.8,68.29,77.07,82.68,94.93,13.17,75.18,68.35,92.09,74.76,77.48,81.68,82.23
Maryland Accountable Care Organization of Eastern Shore LLC,Maryland,07/01/2012,Track1 ,Yes ,6443,$79382734,$87287138,$-7904405,-10%,,,Yes,84.32,94.04,92.54,87.31,56.68,72.52,74.84,13.72,1.37,1.06,64.29,100,37.47,63.45,62.61,74.9,92.71,51.48,62.74,66.05,99.37,22.06,72.18,62.83,73.14,59.71,61.02,22.06,70.63,69.03,85.84,68.18,53.97,61.59,67.38
