ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,Public Contact Name,Public Contact Email,Public Contact Phone,Location 1
"BayCare Physician Partners ACO, LLC","2985 Drew St., Clearwater, Florida 33759-3012",FL,,Dr. Bruce Flareau,bruce.flareau@baycare.org,(727) 519-1252,Amy Lovett,Amy.LovettDunn@baycare.org,(727) 519-1257,"2985 Drew St
Clearwater, Florida 33759-3012
(27.967870860000062, -82.71343291299996)"
Baylor Scott & White Quality Alliance,"8080 N. Central Expressway, Suite 900, Dallas, Texas 75206",TX,http://www.baylorqualityalliance.com,Dr. Carl Couch,carlc@baylorhealth.edu,(214) 265-3700,Pam Zippi,pamz@baylorhealth.edu,(469) 800-8661,"8080 N Central Expressway
Dallas, Texas 75206
(32.86047038300006, -96.76982770099994)"
Bayview Physicians Group,"3241 Western Branch Boulevard, Chesapeake, Virginia 23321",NC,http://www.bayviewphysicians.com/aco,James Hartz,hartz@msaphy.com,(757) 686-3508,Heather Milteer,milteer@msaphy.com,(757) 686-3508,"3241 Western Branch Boulevard
Chesapeake, Virginia 23321
(36.864594381000074, -76.40805970099996)"
"Beacon Health Partners, LLP","1129 Northern Blvd., Suite 101, Manhasset, New York 11030",NY,http://www.beaconhealthpartners.com,Jonathan Goldstein,jonathan@beaconhealthpartners.com,(516) 570-3580,Jonathan Goldstein,jonathan@beaconhealthpartners.com,(516) 570-3580,"1129 Northern Blvd
Manhasset, New York 11030
(40.79019498200006, -73.70364736799996)"
BHS Accountable Care LLC,"215 E. Quincy, Suite 312, San Antonio, Texas 78215",TX,http://www.baptisthealthsystem.com/healthcare-professionals/ci-aco,David McNamara,dpmcnama@baptisthealthsystem.com,(210) 297-1086,David McNamara,dpmcnama@baptisthealthsystem.com,(210) 297-1086,"215 E Quincy
San Antonio, Texas 78215
(29.435535078000044, -98.49278514999997)"
Billings Clinic,"801 N. 29th Street, PO Box 37000, Billings, Montana 59107-7000","MT, WY",http://www.billingsclinic.com,Nicholas Wolter,nwolter@billingsclinic.org,(406) 238-2609,Julie Burton,jburton1@billingsclinic.org,(406) 657-4628,"801 N 29th Street
Billings, Montana 59107-7000
(45.78762610800004, -108.512981519)"
"BJC HealthCare ACO, LLC","670 Mason Ridge Center Drive, Suite 300, St. Louis, Missouri 63141","IL, MO",http://www.bjcaco.org,Sandra Van Trease,svantrease@bjc.org,(314) 286-2111,Erik Rasmussen,erasmussen@bjc.org,(314) 996-7733,"670 Mason Ridge Center Drive
St Louis, Missouri 63141
(38.64004057200003, -90.47481765799995)"
Bluegrass Clinical Partners LLC,"730 West Main Street, Louisville, Kentucky 40202","KY, LA, TN",,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"730 West Main Street
Louisville, Kentucky 40202
(38.25717594900004, -85.76212478899998)"
"BMC Integrated Care Services, Inc.","One Boston Medical Center Place, Boston, Massachusetts 02118",MA,,Dr. Stanley Hochberg,stanley.hochberg@bmc.org,(617) 414-1718,Jennifer Watson,jennifer.watson@bmc.org,(617) 638-6729,"One Boston Medical Center Place
Boston, Massachusetts 02118
(42.334771009000065, -71.07435837799994)"
"Broward Guardian, LLC","2450 Hollywood Boulevard, Suite 601, Hollywood, Florida 33020",FL,http://www.browardguardian.org,John Harkins,jharkins@bguardian.org,(954) 544-4065,John Harkins,jharkins@bguardian.org,(954) 544-4065,"2450 Hollywood Boulevard
Hollywood, Florida 33020
(26.011152869000057, -80.15665944499995)"
Buena Vida y Salud LLC,"2202 S 77 Sunshine Strip, Suite H, Harlingen, Texas 78550",TX,http://www.BUENAVIDAYSALUD.com,Dr. Sheila Magoon,drmagoon@bizrgv.rr.com,(956) 412-3235 ext. 201,Dr. Sheila Magoon,drmagoon@bizrgv.rr.com,(956) 412-3235 ext. 201,"2202 S 77 Sunshine Strip
Harlingen, Texas 78550
(26.17156086800003, -97.67200098599994)"
"Cadence Health ACO, LLC","25 North Winfield Road, Winfield, Illinois 60190",IL,http://cadencehealthaco.org,Martin Manning,martin.manning@cadencehealth.org,(630) 933-5065,Val Sylejmani,val.sylejmani@cadencehealth.org,(630) 933-3267,"25 North Winfield Road
Winfield, Illinois 60190
(41.87266679600003, -88.15825988399996)"
Cape Cod Health Network ACO,"297 North Street, Suite 221, Hyannis, Massachusetts 02601",MA,http://www.cchnaco.com/,Christian Brown,clbrown@capecodhealth.org,(508) 862-5465,Christian Brown,clbrown@capecodhealth.org,(508) 862-5465,"297 North Street
Hyannis, MA 02601
(41.654778855000075, -70.29652865499997)"
"Cape Fear Valley Accountable Care Organization, LLC","1638 Owen Drive, Fayetteville, North Carolina 28304",NC,http://www.cfvaco.com,Joseph Bart Fiser,jfiser@capefearvalley.com,(910) 615-5572,Vincent Benbenek,vbenbenek@capefearvalley.com,(910) 615-6098,"1638 Owen Drive
Fayetteville, SOUTH CAROLINA 28304
(35.032741172000044, -78.93125984099999)"
"Capital Health Accountable Care Organization, LLC","750 Brunswick Avenue, Trenton, New Jersey 08638","NJ, PA",http://www.capitalhealthaco.org,Robert Remstein,rremstein@capitalhealth.org,(609) 537-6081,Jayne O'Connor,joconnor@capitalhealth.org,(609) 815-7572,"750 Brunswick Avenue
Trenton, New Jersey 08638
(40.236124880000034, -74.75269049399998)"
"Care Coordination Services, LLC","9 North Loudoun Street, Suite 103, Winchester, Virginia 22601","VA, WV",http://www.carecoordinationservicesllc.com,Connie Heard,cheard@shenandoahipa.com,(540) 722-1111,Connie Heard,information@carecoordinationservicesllc.com,(540) 722-1111,"9 North Loudoun Street
Winchester, Virginia 22601
(39.18439232900005, -78.16555218899998)"
"Caribbean Accountable Care, Inc.","P.O. Box 71500, San Juan, Puerto Rico 00936",PR,http://www.cac-pr.com,Dr. Raul Montalvo,raul.montalvo@mso-pr.com,(787) 766-2300 ext.2053,Joaquin Rodriguez-Kierce,joaquin.rodriguezkierce@mso-pr.com,(787) 622-3000 ext.2023,"71500 San
Juan, Puerto Rico 00936
(18.010650001000045, -66.59459998499995)"
Carolina Medical Home Network Accountable Care Organization LLC,"4917 Waters Edge Drive, Suite 165, Raleigh, North Carolina 27606-2459",NC,,E. Benjamin Money,moneyb@ncchca.org,(919) 461-5701,E. Benjamin Money,moneyb@ncchca.org,(919) 461-5701,"4917 Waters Edge Drive
Raleigh, NC 27606-2459
(35.77380754200004, -78.72093243599994)"
"Carolinas ACO, LLC","10121 Paradise Ridge Road, Charlotte, North Carolina 28277","NC, SC, VA",http://carolinasaco.com,Dr. Amit Shah,allhealth@hotmail.com,(704) 763-5117,Dr. Mehul Patel,mpatelmd@tampabay.rr.com,(727) 743-0111,"10121 Paradise Ridge Road
Charlotte, SOUTH CAROLINA 28277
(35.04349708900003, -80.83512182499999)"
CaroMont ACO,"2525 Court Drive, Gastonia, North Carolina 28054","NC, SC",http://www.caromonthealth.org/about-us/accountable-care/,Doug Luckett,doug.luckett@caromonthealth.org,(704) 834-2000,Kimberly Sain,kimberly.sain@caromonthealth.org,(704) 834-3991,"2525 Court Drive
Gastonia, SOUTH CAROLINA 28054
(35.27425074000007, -81.13745407099998)"
"Carroll ACO, LLC","200 Memorial Ave, Westminster, Maryland 21157","MD, PA",http://www.CarrollACO.com,Dr. David Louder,dlouder@carrollhospitalcenter.org,(410) 871-6502,Selena Brewer,sbrewer@carrollhospitalcenter.org,(410) 871-7251,"200 Memorial Ave
Westminster, Maryland 21157
(39.55778579400004, -76.98990555599994)"
"Catholic Medical Partners-Accountable Care IPA, Inc.","1083 Delaware Ave, Buffalo, New York 14209",NY,http://www.catholicmedicalpartners.org/ACO,Dennis Horrigan,dhorriga@chsbuffalo.org,(716) 862-2162,Sheree Arnold,sarnold@chsbuffalo.org,(716) 862-2453,"1083 Delaware Ave
Buffalo, New York 14209
(42.913519662000056, -78.86969547499996)"
CCACO,"139 Centre Street, Suite 318, New York, New York 10013","NJ, NY",http://www.ccaco.org,Dr. Henry Chen,goldenhchen@gmail.com,(917) 232-8322,Dr. Josephine Wu,ccaco.contact@gmail.com,(212) 965-0222,"139 Centre Street
New York, New York 10013
(40.71737998900005, -74.00050512299998)"
Cedars-Sinai Medical Care Foundation,"200 North Robertson Blvd. #101, Beverly Hills, California 90211",CA,http://www.cedars-sinai.edu/Patients/Patient-and-Visitor-Resources/Cedars-Sinai-ACO-Public-Reporting,Thomas Gordon,Tom.Gordon@cshs.org,(310) 385-3220,Cynthia Litt,LittC@csmns.org,(310) 385-3248,"200 North Robertson Blvd
Beverly Hills, California 90211
(34.06961039200007, -118.38373656099998)"
Central Florida Physicians Trust,"483 N. Semoran Blvd, Suite 205, Winter Park, Florida 32792",FL,,Vikram Saini,vsaini@floridaaco.com,(352) 219-5658,Vik Saini,info@floridaaco.com,(407) 960-5587,"483 N Semoran Blvd
Winter Park, Florida 32792
(28.603271883000048, -81.30725892899994)"
Central Jersey ACO LLC,"95 Old Short Hills Road, West Orange, New Jersey 07052",NJ,http://www.centraljerseyaco.org,Dr. John Bonamo,jbonamo@barnabashealth.org,(973) 322-5502,Julie Owen,jowen@barnabashealth.org,(973) 322-4445,"95 Old Short Hills Road
West Orange, NJ 07052
(40.763606079000056, -74.30246057199997)"
Central Maine ACO,"300 Main Street, Lewiston, Maine 04240",ME,http://www.centralmaineaco.org,Jim Kane,kanej@cmhc.org,(207) 795-2953,Chuck Gill,gillch@cmhc.org,(207) 795-2711,"300 Main Street
Lewiston, Maine 04240
(44.10098480900007, -70.21443534499997)"
Central Missouri Medical Network,"3610 Buttonwood Dr., Suite 200, Columbia, Missouri 65201",MO,http://midmonet.org,Jay Jennings,jjennings@midmonet.org,(573) 777-1191,Jay Jennings,jjennings@momednet.org,(573) 777-1191,"3610 Buttonwood Dr
Columbia, Missouri 65201
(38.91120013800003, -92.33046496799994)"
"Central US ACO, LLC","901 W Commerical, Kennett, Missouri 63857","AR, CO, KY, MO, TN",http://www.CentralUSaco.com,Dr. Timothy McPherson,tmcpherson@CentralUSACO.com,(573) 717-1072,Greg Shockey,greg@CentralUSACO.com,(417) 873-9011,"901 W Commerical
Kennett, Missouri 63857
(36.24504417500003, -90.06490356099994)"
"Central Utah Clinic, P.C.","1055 North 500 West, Provo, Utah 84604","NV, UT",http://www.centralutahclinic.com/patient-resources/ACO-public-report,Scott Barlow,sbarlow@centralutahclinic.com,(801) 429-8034,Justin Ellingford,jellingford@centralutahclinic.com,(801) 812-4619,"1055 North 500 West
Provo, Utah 84604
(40.248275619000026, -111.66745299099995)"
"CHA ACO, LLC","53842 Generations Drive, South Bend, Indiana 46635","IN, MI",http://www.chanetwork.com,Diane Maas,dmaas@beaconhealthsystem.org,(574) 647-1822,Barb Garrett,bgarrett@beaconhealthsystem.org,(574) 647-1845,"53842 Generations Drive
South Bend, Indiana 46635
(41.711149309000064, -86.20368806999994)"
"Chautauqua Region Associated Medical Partners, LLC","200 Harrison Street, Suite 200, Jamestown, New York 14701","NY, PA",http://www.cchn.net/Home/AMPPublicReporting/tabid/484/Default.aspx,Ann Morse Abdella,abdella@cchn.net,(716) 338-0010,Ann Morse Abdella,abdella@cchn.net,(716) 338-0010,"200 Harrison Street
Jamestown, New York 14701
(42.094452398000044, -79.23268383499999)"
"Chicago Health System ACO, LLC","750 Pasquinelli Drive, Suite 204, Westmont, Illinois 60559","IL, MA",,Luke Croswell,lucroswe@chicagohealthsystem.com,(708) 783-7100 ext. 7122,Luke Croswell,lucroswe@chicagohealthsystem.com,(708) 783-7100 ext. 7122,"750 Pasquinelli Drive
Westmont, Illinois 60559
(41.81451645200008, -87.95224197599998)"
CHI St. Luke's Health Network,"6624 Fannin, Suite 1100, Houston, Texas 77030",TX,,Apriél Powell-Martin,apowellmartin@StLukesHealth.Org,(832) 355-4054,Dr. Lewis Greenberg,lewisgreenberg@catholichealth.net,(832) 355-8386,"6624 Fannin
Houston, Texas 77030
(29.709099456000047, -95.40148382699994)"
"Christie Clinic Physician Services, LLC","101 W. University Ave., Champaign, Illinois 61820",IL,,Kenneth Bilger,kbilger@christieclinic.com,(217) 366-1270,Jason Hirsbrunner,jhirsbrunner@christieClinic.com,(217) 366-1270,"101 W University Ave
Champaign, Illinois 61820
(40.11631292200008, -88.24386063799994)"
"Chrysalis Medical Services, LLC","2106 New Road, Linwood Commons - Suite F-1, Linwood, New Jersey 08221",NJ,,Dr. Anthanasios Papastamelos,apapa2106@comcast.net,(609) 926-5451,"William Todd, III",bgtodd2@ix.netcom.com,(609) 703-7440,"2106 New Road
Linwood, New Jersey 08221
(39.33511835100006, -74.58794008399997)"
CHWN ACO,"385 Millennium Drive, Crystal Lake, Illinois 60012",IL,,Jeff Schmidt,jschmidt@centegra.com,(815) 788-5818,Michelle Green,mgreen2@centegra.com,(815) 788-5865,"385 Millennium Drive
Crystal Lake, Illinois 60012
(42.25182406600004, -88.29945519599994)"
"Circle Health Alliance, LLC","295 Varnum Avenue, Lowell, Massachusetts 01854","MA, NH",http://www.lowellgeneralpho.org/CircleHealthAlliance.cfm,Gerri Vaughan,gerri.vaughan@lowellgeneral.org,(978) 937-6029,Karen Grossman,karen.grossman@lowellgeneral.org,(978) 788-7376,"295 Varnum Avenue
Lowell, Massachusetts 01854
(42.64609439700007, -71.34273289699996)"
"Cleveland Clinic Medicare ACO, LLC","6000 West Creek Rd, #10, Independence, Ohio 44131",OH,,Dr. Brian Donely,DONLEYB@ccf.org,(216) 442-5609,Monica Deadwiler,deadwim@ccf.org,(216) 986-1114,"6000 West Creek Rd
Independence, Ohio 44131
(41.40048597700007, -81.65581373799995)"
Cleveland Quality Healthnet,"464 Richmond Road, Suite 104, Richmond Heights, Ohio 44143",OH,,Dr. Corattur Natesan,cnsnatesan@yahoo.com,(216) 534-5503,Dr. Beejadi Mukunda,bmukunda1@gmail.com,(440) 449-1540,"464 Richmond Road
Richmond Heights, Ohio 44143
(41.552340677000075, -81.49714690599995)"
"Clinical Partners of Colorado Springs, LLC","5575 Tech Center Drive, Suite 106, Colorado Springs, Colorado 80919",CO,http://clinicalpartnerscs.com,Bruce Minear,bminear@mtviewmedgroup.com,(719) 590-1177,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"5575 Tech Center Drive
Colorado Springs, Colorado 80919
(38.914380435000055, -104.82721475399995)"
"CMG ACO, LLC","234 Church Street, 5th Floor, New Haven, Connecticut 06510","CT, NY",http://www.ctcmg.org/,Joseph Quaranta,jquaranta@nhcmg.org,(888) 304-1054 ext.111,Jennifer Cammarano,jcammarano@nhcmg.org,(888) 304-1054 ext.113,"234 Church Street
New Haven, CT 06510
(41.30937975100005, -72.92337627999996)"
"Coastal Carolina Quality Care, Inc.","1020 Medical Park Avenue, New Bern, North Carolina 28562",NC,http://www.ccqchealthcare.com,Stephen W. Nuckolls,nuckolls@cchealthcare.com,(252) 514-6685,Carrie Hagan,chagan@cchealthcare.com,(252) 514-6685,"1020 Medical Park Avenue
New Bern, SOUTH CAROLINA 28562
(35.10503700400005, -77.09267180999996)"
"Coastal Medical, Inc.","10 Davol Square, Suite 400, Providence, Rhode Island 02903","MA, RI",http://www.coastalmedical.com,Dr. G. Alan Kurose,akurose@coastalmedical.com,(401) 421-4000 ext.227,Meryl Moss,mmoss@coastalmedical.com,(401) 421-4000 ext.234,"10 Davol Square
Providence, Rhode Island 02903
(41.81637650400006, -71.40654324799993)"
"Coastal Plains Network, LLC","800 W.H. Smith Blvd, PO Box 6028, Greenville, North Carolina 27835",NC,http://coastalplainsnetwork.org,Dr. Mark Rumans,mark.rumans@vidanthealth.com,(252) 816-0899,Christine Mackey,christine.mackey@vidanthealth.com,(252) 847-9390,"800 W H Smith Blvd
Greenville, SOUTH CAROLINA 27835
(35.61459987500007, -77.37429929399997)"
Collaborative Care of Florida LLC,"1414 Kuhl Ave. MP2, Orlando, Florida 32806",FL,http://collaborativecarefl.com/,Dennis Buhring,dbuhring@paof.com,(407) 262-5715,Kena Lewis,kena.lewis@orlandohealth.com,(321) 841-8184,"1414 Kuhl Ave
Orlando, Florida 32806
(28.525991798000064, -81.37816228599996)"
Collaborative Health ACO,"67 Union Street, Natick, Massachusetts 01760",MA,http://www.collaborativehealthaco.com/,Bethany Gilboard,bethany.gilboard@mwmc.com,(508) 650-7463,Teresa Prego,tprego@vhsnewengland.com,(508) 363-9925,"67 Union Street
Natick, Massachusetts 01760
(42.281064438000044, -71.33363643499996)"
"Colorado Accountable Care, LLC","188 Inverness Drive West, Suite 500, Englewood, Colorado 80112",CO,http://centura.org/colorado-accountable-care,Renae Pemberton,renaepemberton@centura.org,(303) 804-8124,Renae Pemberton,renaepemberton@centura.org,(303) 804-8124,"188 Inverness Drive West
Englewood, Colorado 80112
(39.569074699000055, -104.87053017999995)"
Commonwealth Primary Care ACO,"5030 S Mill Ave, Suite D-8, Tempe, Arizona 85282",AZ,http://www.commonwealthaco.com,Dr. Curtis Page,cpage@commonwealthaco.com,(480) 250-4527,Curtis Page,cpage@commonwealthaco.com,(480) 250-4527,"5030 S Mill Ave
Tempe, Arizona 85282
(33.37943967600006, -111.93940347099999)"
"Community Health Accountable Care, LLC","61 Elm Street, Montpelier, Vermont 05602","NH, VT",http://communityhealthaccountablecare.com/,Joyce Gallimore,jgallimore@bistatepca.org,(802) 229-0002 ext.222,Joyce Gallimore,jgallimore@bistatepca.org,(802) 229-0002 ext.222,"61 Elm Street
Montpelier, Vermont 05602
(44.26177465400008, -72.57521317699997)"
Community Health Network,"559 Capitol Boulevard, St. Paul, Minnesota 55103",MN,,Aaron Bloomquist,aabloomquist@healtheast.org,(651) 232-2773,Aaron Bloomquist,aabloomquist@healtheast.org,(651) 232-2255,"559 Capitol Boulevard
St Paul, Minnesota 55103
(44.95895009100008, -93.10224949999997)"
"Connected Care, LLC","2601 Electric Ave., Port Huron, Michigan 48060",MI,,Tiffany Francis,tiffany.francis@stjoeshealth.org,(810) 987-1094,Tiffany Francis,tiffany.francis@stjoeshealth.org,(810) 987-1094,"2601 Electric Ave
Port Huron, Michigan 48060
(42.95550340600005, -82.43425513099999)"
"Cornerstone Health Enablement Strategic Solutions, LLC","1701 Westchester Drive, Suite 850, High Point, North Carolina 27262-7254",NC,,Grace Terrell,CHESSACO_Executive@chessmso.com,(336) 802-2661,Andrew Weniger,CHESSACO@chessmso.com,(336) 802-2661,"1701 Westchester Drive
High Point, NC 27262-7254
(35.94836786600007, -80.03363722899996)"
Cotton-O'Neil ACO llc,"1500 SW 10th Ave, Topeka, Kansas 66604",KS,,Todd Lutz,tolutz@stormontvail.org,(785) 354-5215,Nancy Burkhardt,nburkhar@stormontvail.org,(785) 354-6927,"1500 SW 10th Ave
Topeka, Kansas 66604
(39.051277277000054, -95.69614417999998)"
"Covenant ACO, Inc.","3615 19th St, Lubbock, Texas 79410","NM, TX",http://www.covenanthealthpartners.org/Covenant-ACO.aspx,John Grigson,jgrigson@covhs.org,(806) 725-0492,Michael Camacho,mcamacho@covhs.org,(806) 725-3450,"3615 19th St
Lubbock, Texas 79410
(33.57787297500005, -101.89255001099997)"
"Crystal Run Healthcare ACO, LLC","155 Crystal Run Road, Middletown, New York 10941","NY, PA",,Hal Teitelbaum,hteitelbaum@crystalrunhealthcare.com,(845) 703-6103,Mark Trocino,mtrocino@crystalrunhealthcare.com,(845) 615-6832,"155 Crystal Run Road
Middletown, New York 10941
(41.451194531000056, -74.35621797599998)"
"Cumberland Center for Healthcare Innovation, LLC","3300 Williams Enterprise Drive, Suite #2, Cookeville, Tennessee 38506",TN,http://www.cchi-tn.com/,Brent Staton MD,bstaton@cchi-tn.com,(931) 400-0011,Libby Plunkett,libby.plunkett@cchi-tn.com,(931) 400-0011 ext. 201,"3300 Williams Enterprise Drive
Cookeville, Tennessee 38506
(36.13243797200005, -85.50242664199999)"
"Deaconess Care Integration, LLC","421 Chestnut Street, Evansville, Indiana 47713","IL, IN, KY",,Fredrick Wallisch,Fredrick.Wallisch@deaconess.com,(812) 426-9402,Heather Orth,Heather.orth@deaconess.com,(812) 492-5157,"421 Chestnut Street
Evansville, Indiana 47713
(37.96902538900008, -87.56903716399995)"
Delaware Valley ACO,"259 North Radnor Chester Road, Suite 290, Radnor, Pennsylvania 19087","NJ, PA",http://delawarevalleyaco.org,Dr. Katherine Schneider,schneiderk@dvaco.org,(610) 225-6298,Dr. Katherine Schneider,schneiderk@dvaco.org,(610) 225-6298,"259 North Radnor Chester Road
Radnor, Pennsylvania 19087
(40.04269824600004, -75.35962958899995)"
Delmarva Health Network,"424 Savannah Road, Lewes, Delaware 19958","DE, MD",http://www.delmarvahealthnetwork.com,Jeffrey Fried,jfried@beebehealthcare.org,(302) 645-3537,Alex Sydnor,ASydnor@beebehealthcare.org,(302) 645-3115,"424 Savannah Road
Lewes, Delaware 19958
(38.77119560300008, -75.14251918299993)"
Diagnostic Clinic Walgreens Well Network,"104 Wilmot Road, MS1455, Deerfield, Illinois 60015",FL,http://dc.mywellnetwork.com,Dr. Richard Cassidy,wellnetworkquestions@walgreens.com,(847) 315-3585,Mary Bloszies,wellnetworkquestions@walgreens.com,(847) 315-3585,"104 Wilmot Road
Deerfield, Illinois 60015
(42.155389669000044, -87.86742745299995)"
"Doctors ACO, LLC","2005 Prince Avenue, Athens, Georgia 30606","GA, IN, OH",http://www.doctorsACO.org,David Klebonis,dklebonis@doctorsaco.org,(352) 258-1188,Louis Morgenier,Lmorgenier@healthcaredevelopment.com,(561) 346-7796,"2005 Prince Avenue
Athens, Georgia 30606
(33.96890642900007, -83.40861490699996)"
Doctors Connected,"213 S. Jefferson Street, Suite 720, Roanoke, Virginia 24011",VA,http://www.doctorsconnected.org/,"Dr. Thomas Denberg, MD",tddenberg@carilionclinic.org,(540) 981-7400,Michael Dame,mldame@carilionclinic.org,(540) 266-6574,"213 S Jefferson Street
Roanoke, Virginia 24011
(37.27142130300007, -79.94057549299998)"
"Duke Connected Care, LLC","718 Rutherford Street, Box 104301, Durham, North Carolina 27705",NC,http://www.dukeconnectedcare.org,Devdutta Sangvai,devdutta.sangvai@duke.edu,(919) 613-9719,Dr. Devdutta Sangvai,dukeconnectedcare@dm.duke.edu,(919) 613-9719,"718 Rutherford Street
Durham, SOUTH CAROLINA 27705
(36.00867253500007, -78.92770825499997)"
Emerald Physicians,"433 West Main Street, Hyannis, Massachusetts 02601",MA,http://www.emeraldphysicians.com/accountable-care-organization/,Cormac Coyle,ccoyle@emeraldphysicians.com,(508) 778-4777,Dr. Susan Harrington,sharrington@emeraldphysicians.com,(508) 778-4777,"433 West Main Street
Hyannis, Massachusetts 02601
(41.64946535900003, -70.31236445299999)"
Essentia Health,"502 E Second Street, Duluth, Minnesota 55805","MN, ND, WI",http://www.essentiahealth.org,David Herman,david.herman@essentiahealth.org,(218) 786-3162,Catherine VonRueden,catherine.vonrueden@essentiahealth.org,(218) 786-6611,"502 E Second Street
Duluth, Minnesota 55805
(46.792485113000055, -92.09488095099994)"
"Essential Care Partners, LLC","5900 Southwest Parkway, Building 3, Austin, Texas 78735",TX,http://www.essentialcarepartners.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"5900 Southwest Parkway
Austin, Texas 78735
(30.247265764000076, -97.84791754599996)"
"FamilyHealth ACO, LLC","16 East 16 Street, New York, New York 10003","CT, NY",,Neil Calman,ncalman@institute2000.org,(212) 633-0800 ext. 1236,Carol Bouton,cbouton@institute2000.org,(845) 255-3766,"16 East 16 Street
New York, New York 10003
(40.73716043100006, -73.99231127999997)"
"First Coast Health Alliance, LLC","400 Health Park Boulevard, St.Augustine, Florida 32086",FL,http://www.firstcoasthealthalliance.com/,Miguel Machado,Machneuro@aol.com,(904) 827-1711,Gina McLean,Gina.McLean@flaglerhospital.org,(904) 819-4431,"400 Health Park Boulevard
St Augustine, Florida 32086
(29.862607592000074, -81.32007114999999)"
"Florida Medical Clinic ACO, LLC","38135 Market Square, Zephyrhills, Florida 33542",FL,http://www.fmcaco.com,Joe Delatorre,jdelatorre@floridamedicalclinic.com,(813) 712-1741,Barbara Ramirez,bramirez@floridamedicalclinic.com,(813) 712-1645,"38135 Market Square
Zephyrhills, Florida 33542
(28.253758306000066, -82.18554771699996)"
"Florida Physicians Trust, LLC","483 N. Semoran Blvd, Suite 204, Winter Park, Florida 32792",FL,,Vikram Saini,vsaini@floridaaco.com,(352) 219-5658,Vik Saini,info@floridaaco.com,(407) 960-5587,"483 N Semoran Blvd
Winter Park, Florida 32792
(28.603271883000048, -81.30725892899994)"
"Foothill Accountable Care Medical Group, Inc.","840 Towne Center Drive, Pomona, California 91767",CA,http://www.facmginc.com,Tejinder Singh,tsingh@foothillaco.com,(909) 633-8212,Jacqueline Vela,jvela@admresources.com,(909) 398-1550 ext.238,"840 Towne Center Drive
Pomona, California 91767
(34.09250392700005, -117.73404435299994)"
"Fort Smith Physicians Alliance ACO, LLC","4300 Rogers Ave, Suite 26, Fort Smith, Arkansas 72903","AR, OK",http://www.fortsmithphysicians.com,Steve Scott,sscott@trilennium.net,(479) 769-0222,Steve Scott,sscott@trilennium.net,(479) 769-0222,"4300 Rogers Ave
Fort Smith, KANSAS 72903
(35.368978053000035, -94.38490139999999)"
"FPG Healthcare, LLC","6416 Old Winter Garden Road, Orlando, Florida 32835",FL,http://www.fpghealthcare.com,Anjali Vyas,avyas@fpghealthcare.com,(407) 293-2930,Daney Ordonez,dordonez@fpghealthcare.com,(407) 293-2930,"6416 Old Winter Garden Road
Orlando, Florida 32835
(28.53842376700004, -81.46972375099995)"
"Franciscan AHN ACO, LLC ","1515 Dragoon Trail, Mishawaka, Indiana 46544",IN,http://www.ahni.com,Jennifer Westfall,courtney.federspiel@franciscanalliance.org,(317) 782-6671,Judith Scott,judith_scott@ahni.com,(317) 580-6414,"1515 Dragoon Trail
Mishawaka, Indiana 46544
(41.64839511800005, -86.19988568699995)"
Franciscan Alliance ACO,"700 E Southport Rd., Indianapolis, Indiana 46227","IL, IN",http://FranciscanAlliance.org/ACO,Jennifer Westfall,Jenny.Westfall@franciscanalliance.org,(317) 782-6671,Megan Wright,Megan.Wright@franciscanalliance.org,(317) 528-4761,"700 E Southport Rd
Indianapolis, Indiana 46227
(39.66448824200006, -86.14540104699995)"
"Franciscan Northwest Physicians Health Network, LLC","1304 S Fawcett Avenue, Suite 200, Tacoma, Washington 98402",WA,http://www.fnphn.org,"Frederick MacCornack, PhD",RMaccornack@npnwa.net,(253) 207-4341,Scott Thompson,ScottThompson@fhshealth.org,(253) 382-3858,"1304 S Fawcett Avenue
Tacoma, Washington 98402
(47.25068872400004, -122.44250897999996)"
Franciscan Riverview Health ACO,"1515 Dragoon Trail, Mishawaka, Indiana 46544",IN,http://Franciscanalliance.org/ACO,Patricia Fox,PFox@riverview.org,(317) 782-6671,Mark Smith,masmith@riverview.org,(317) 770-7449,"1515 Dragoon Trail
Mishawaka, Indiana 46544
(41.64839511800005, -86.19988568699995)"
"Franciscan Select Health Network ACO, LLC","401 E. Colfax, Suite 100, South Bend, Indiana 46617","IN, MI",http://selecthealthnetwork.com/content/franciscan-select-health-network-accountable-care-organizatio,Carol Mills,cmills@selecthn.com,(574) 283-5947,Amy Calderone,acalderone@selecthn.com,(574) 283-5943,"401 E Colfax
South Bend, Indiana 46617
(41.67782762300004, -86.24580051399994)"
Franciscan Union ACO,"700 E Southport Rd., Indianapolis, Indiana 46227","IL, IN",http://www.franciscanalliance.org,Jennifer Westfall,Jenny.Westfall@franciscanalliance.org,(317) 782-6671,David Delaney,David.Delaney@franciscanalliance.org,(317) 528-2010,"700 E Southport Rd
Indianapolis, Indiana 46227
(39.66448824200006, -86.14540104699995)"
